airport_ID,airport_abb,airport_name
340,SNA,"Santa Ana, CA: John Wayne Airport-Orange County"
341,SPI,"Springfield, IL: Abraham Lincoln Capital"
342,SPN,"Saipan, TT: Francisco C. Ada Saipan International"
343,SPS,"Wichita Falls, TX: Sheppard AFB/Wichita Falls Municipal"
344,SRQ,"Sarasota/Bradenton, FL: Sarasota/Bradenton International"
345,STC,"St. Cloud, MN: St. Cloud Regional"
346,STL,"St. Louis, MO: St Louis Lambert International"
347,STS,"Santa Rosa, CA: Charles M. Schulz - Sonoma County"
348,STT,"Charlotte Amalie, VI: Cyril E King"
349,STX,"Christiansted, VI: Henry E. Rohlsen"
350,SUN,"Sun Valley/Hailey/Ketchum, ID: Friedman Memorial"
351,SUX,"Sioux City, IA: Sioux Gateway Brig Gen Bud Day Field"
352,SWF,"Newburgh/Poughkeepsie, NY: New York Stewart International"
353,SWO,"Stillwater, OK: Stillwater Regional"
354,SYR,"Syracuse, NY: Syracuse Hancock International"
355,TBN,"Fort Leonard Wood, MO: Waynesville-St. Robert Regional Forney Field"
356,TKI,"Tokeen, AK: Tokeen Airport"
357,TOL,"Toledo, OH: Toledo Express"
358,TPA,"Tampa, FL: Tampa International"
359,TRI,"Bristol/Johnson City/Kingsport, TN: Tri Cities"
360,TTN,"Trenton, NJ: Trenton Mercer"
361,TUL,"Tulsa, OK: Tulsa International"
362,TUS,"Tucson, AZ: Tucson International"
363,TVC,"Traverse City, MI: Cherry Capital"
364,TWF,"Twin Falls, ID: Joslin Field - Magic Valley Regional"
365,TXK,"Texarkana, AR: Texarkana Regional-Webb Field"
366,TYR,"Tyler, TX: Tyler Pounds Regional"
367,TYS,"Knoxville, TN: McGhee Tyson"
368,UIN,"Quincy, IL: Quincy Regional-Baldwin Field"
369,USA,"Concord, NC: Concord Padgett Regional"
370,UST,"St. Augustine, FL: Northeast Florida Regional"
371,VCT,"Victoria, TX: Victoria Regional"
372,VEL,"Vernal, UT: Vernal Regional"
373,VLD,"Valdosta, GA: Valdosta Regional"
374,VPS,"Valparaiso, FL: Eglin AFB Destin Fort Walton Beach"
375,WRG,"Wrangell, AK: Wrangell Airport"
376,WYS,"West Yellowstone, MT: Yellowstone"
377,XNA,"Fayetteville, AR: Northwest Arkansas Regional"
378,XWA,"Williston, ND: Williston Basin International"
379,YAK,"Yakutat, AK: Yakutat Airport"
380,YKM,"Yakima, WA: Yakima Air Terminal/McAllister Field"
381,YNG,"Youngstown/Warren, OH: Youngstown-Warren Regional"
382,YUM,"Yuma, AZ: Yuma MCAS/Yuma International"
